image1,image2,name,summery
https://st.hzcdn.com/simgs/4b1110470c34dff8_9-5130,https://st.hzcdn.com/simgs/bce1360a0c34dffa_9-5130,"Valencia Bonded Leather Chair, Set of 2, Black",
https://st.hzcdn.com/simgs/4221dc6f0b1051d3_9-3225,https://st.hzcdn.com/simgs/1541cabc0b1051d4_9-0076,"Modern Dining Chairs Wood Armchairs, Set of 2, White",
https://st.hzcdn.com/simgs/93d1221c0e6f1fcf_9-7320,https://cf-images.us-east-1.prod.boltdns.net/v1/jit/4186268161001/8af93098-7318-4fa3-a155-6dad5f02d648/main/300x300/17s269ms/match/image.jpg,"INK+IVY Nola Dining Chairs, Set of 2",
https://st.hzcdn.com/simgs/7991f9c60d3f1428_9-8327,https://st.hzcdn.com/simgs/53314d500d3f1425_9-0638,"Carwyn Accent chair With Footstool, Blue Woven",
https://st.hzcdn.com/simgs/98a1030d0d53d675_9-9684,https://st.hzcdn.com/simgs/b351b0930d53d646_9-9684,Divani Casa Carlos Modern Gray Velvet and Gold Accent Chair,
https://st.hzcdn.com/simgs/743142e90e3ddea5_9-4579,https://st.hzcdn.com/simgs/fd6153910e3313da_9-4579,"Perception Tufted Upholstered Fabric Armchair, White",
https://st.hzcdn.com/simgs/49c10a0a0dd80024_9-8582,https://st.hzcdn.com/simgs/e5c1ceee0dd8002a_9-8582,"Tori Velvet Chair, Black",
https://st.hzcdn.com/simgs/bba175200810ebb7_9-6865,https://st.hzcdn.com/simgs/937154380810ebba_9-3943,"Capri Wood Dining Chair, Solid Bleech Wenge Base, White Ppm",
https://st.hzcdn.com/simgs/22e1b5950d2f697b_9-4404,https://st.hzcdn.com/simgs/cb516be20d4450aa_9-4404,"Armless Accent Chair, Brown Faux Leather",
https://st.hzcdn.com/simgs/0c41ce3e0eb4e5ce_9-0032,https://st.hzcdn.com/simgs/7d013eec0eb4e5cf_9-0032,Modway Prospect Channel Tufted Velvet Armchair in Gray (Set of 2),
https://st.hzcdn.com/simgs/1a91b6b10e9d6a05_9-1413/home-design.jpg,,"Upholstered Vinyl Accent Chair, Blue",
https://st.hzcdn.com/simgs/2f41cd7c0e72fd99_9-6453,https://st.hzcdn.com/simgs/d501a1fd0a836bf3_9-7267,Madison Park Kari Slant Back Wood Accent Chair,
https://st.hzcdn.com/simgs/b4a13c0b0c819274_9-7391,https://st.hzcdn.com/simgs/5781b4ec0c81926c_9-7391,Collin Arm Chair,
https://st.hzcdn.com/simgs/7cb149750fb4bba0_9-9261,https://st.hzcdn.com/simgs/600105510fb4bba1_9-9261,Flash Furniture Hercules Diplomat Leather Chair in Black,
https://st.hzcdn.com/simgs/50d1514c0dcb1f26_9-5884,https://st.hzcdn.com/simgs/8101ea410dcb1f27_9-5884,Magnolia Navy Chair With Silver Base,
https://st.hzcdn.com/simgs/5ed1d5710c34e0f6_9-7696,https://st.hzcdn.com/simgs/4ff1e1b70c34e0f9_9-5182,"Beverly Hills Bonded Leather Chairs With Driftwood Legs, Set of 2, Vintage Gray",
